,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name
442,1922,Saturday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,135.0,Average,Neutral,Somewhat satsified,Mr. Boris Harrower
443,1540,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,2018-12-31,105.0,Somewhat clean,Somewhat safe,Somewhat unsatisfied,Ms. Linda Phelps
444,715,Wednesday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,175.0,Clean,Very safe,Somewhat satsified,Dr. Roger Barker
447,557,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,205.0,Somewhat dirty,Neutral,Somewhat satsified,Mr. Tommy Sandoval
448,1279,Thursday,CHINA SOUTHERN,WUHAN,Asia,Medium,Gates 1-12,2018-12-31,195.0,Average,Somewhat safe,Somewhat satsified,Mr. Donald Little
449,3253,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,360.0,Somewhat clean,Somewhat safe,Neutral,Jamaal Harold
450,858,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,85.0000000000002,Somewhat clean,Somewhat safe,Somewhat satsified,Mr. Andrew Jennings
451,1529,Wednesday,ALASKA,LOS ANGELES,West US,    Hub,Gates 40-48,2018-12-31,120.0,Somewhat clean,Somewhat safe,Very satisfied,Deborah Greek
452,2788,Sunday,WOW,REYKJAVIK,eur,    Small,Gates 1-12,2018-12-31,175.0,Somewhat clean,Somewhat safe,Neutral,Mr. Dennis Cronin
453,2517,Saturday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,130.0,Somewhat clean,Very safe,Somewhat satsified,Mr. Keith Curtis
454,792,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,130.0,Somewhat clean,Very safe,Neutral,Miss Sarah Wolfe
455,2056,Friday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,180.0,Clean,Very safe,Very satisfied,Nicholas Mace
456,3184,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,120.0,Clean,Somewhat safe,Neutral,Dr. Paula Joiner
457,1767,Thursday,AMERICAN,CHICAGO-O'HARE,Midwest US,Hub,Gates 50-59,2018-12-31,80.0,Clean,Very safe,Very satisfied,Mr. John Wille
458,1192,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,2018-12-31,30.0000000000001,Clean,Very safe,Very satisfied,Ms. Dorothy Perez
459,1211,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,75.0000000000001,Clean,Very safe,Very satisfied,Dr. Anthony Casey
461,864,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,Hub,Gates 50-59,2018-12-31,235.0,Somewhat clean,Somewhat safe,Neutral,Mr. William Haynes
462,817,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,140.0,Somewhat clean,Somewhat safe,Somewhat satsified,Ms. Lucille Coon
463,832,Sunday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,185.0,Somewhat clean,Somewhat safe,Somewhat satsified,Ms. Catherine Young
464,272,Thursday,UNITED,LOS ANGELES,West US,Hub     ,Gates 70-90,2018-12-31,70.0000000000001,Somewhat clean,Somewhat safe,Somewhat satsified,Ms. Alma Paris
465,1196,Tuesday,SOUTHWEST,LAS VEGAS,West US,    Hub,Gates 20-39,2018-12-31,145.0,Somewhat dirty,Neutral,Somewhat unsatisfied,Jo Houston
466,2205,Thursday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,365.0,Clean,Very safe,Somewhat satsified,Dominick Eichenberger
467,2264,Wednesday,UNITED,LOS ANGELES,West US,Hub,Gates 60-69,2018-12-31,125.0,Average,Somewhat safe,Very satisfied,Richard Warren
468,1504,Wednesday,DELTA,LOS ANGELES,West US,Hub     ,Gates 40-48,2018-12-31,105.0,Somewhat clean,Very safe,Somewhat satsified,Mr. Emmanuel Leday
469,1489,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium     ,Gates 1-12,2018-12-31,135.0,Somewhat clean,Very safe,Somewhat satsified,Ms. Corrin Valentin
470,497,Sunday,UNITED,DENVER,West US,Hub,Gates 70-90,2018-12-31,101.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Ramona Kuhn
471,1115,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,120.0,Somewhat clean,Neutral,Neutral,Dr. Yvonne Atchity
472,1532,Wednesday,JETBLUE,NEW YORK-JFK,East US,Hub,Gates 1-12,2018-12-31,161.0,Somewhat clean,Very safe,Somewhat satsified,Mr. Kendall Anderson
473,3093,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,127.0,Somewhat dirty,Somewhat safe,Somewhat satsified,Mr. Michael Winkler
474,1762,Monday,LUFTHANSA,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,415.0,Somewhat clean,Somewhat safe,Somewhat satsified,Mr. Jesse Decker
475,2023,Friday,BRITISH AIRWAYS,LONDON HEATHROW,eur,    Hub,Gates 1-12,2018-12-31,190.0,Somewhat clean,Somewhat safe,Neutral,Ms. Bambi Frederick
476,2495,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,109.0,Somewhat clean,Somewhat safe,Very satisfied,Dr. Tracy Vann
477,658,Friday,UNITED INTL,MUNICH,Europe,Hub,Gates 91-102,2018-12-31,445.0,Somewhat clean,Somewhat safe,Somewhat satsified,Mr. Joseph Chandler
478,781,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,160.0,Somewhat clean,Somewhat safe,Very satisfied,Dr. James Bowling
479,2330,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,    Hub,Gates 40-48,2018-12-31,125.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Connie Giffin
480,3220,Thursday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,90.0,Clean,Somewhat safe,Very satisfied,Miss Erin Miller
481,1474,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,160.0,Clean,Very safe,Very satisfied,Miss Anita Vincent
482,250,Thursday,UNITED,NASHVILLE,Midwest US,Medium,Gates 70-90,2018-12-31,160.0,Average,Very safe,Somewhat satsified,Mr. Daniel Upshaw
483,1120,Thursday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,120.0,Average,Neutral,Somewhat satsified,Sylvia Armbruster
484,2422,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,160.0,Somewhat clean,Neutral,Neutral,Dr. Steven Bishop
485,414,Sunday,UNITED,HOUSTON-BUSH,Midwest US,Hub,Gates 70-90,2018-12-31,182.0,Somewhat clean,Somewhat safe,Somewhat satsified,Mr. Terry Denning
486,2289,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub     ,Gates 1-12,2018-12-31,165.0,Somewhat clean,Very safe,Very satisfied,Mr. David Church
487,254,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,115.0,Clean,Very safe,Somewhat satsified,Jennifer Hannah
488,3022,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,75.0000000000001,Somewhat clean,Neutral,Somewhat satsified,Dr. Jena Hart
490,513,Sunday,ALASKA,PORTLAND,West US,Medium,Gates 50-59,2018-12-31,58.0,Somewhat clean,Somewhat safe,Somewhat satsified,Darrel Finnemore
491,3181,Thursday,DELTA,LOS ANGELES,West US,    Hub,Gates 40-48,2018-12-31,150.0,Somewhat clean,Very safe,Neutral,Gloria Giles
492,2459,Friday,UNITED,DENVER,West US,Hub,Gates 70-90,2018-12-31,86.0,Clean,Very safe,Somewhat satsified,Miss Rosie Crawford
493,2123,Friday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,259.0,Clean,Very safe,Very satisfied,Cynthia Edwards
494,1343,Tuesday,UNITED INTL,KANSAI,Asia,    Hub,Gates 91-102,2018-12-31,125.0,Average,Somewhat unsafe,Neutral,Dale Strom
495,2851,Tuesday,UNITED,SEATTLE,West US,Hub,Gates 70-90,2018-12-31,112.0,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Tommy Wellman
496,481,Sunday,ALASKA,PORTLAND,West US,    Medium,Gates 50-59,2018-12-31,193.0,Average,Very safe,Somewhat satsified,Michelle Lanoue
497,2870,Wednesday,UNITED,WASHINGTON DC-DULLES,East US,Medium,Gates 70-90,2018-12-31,167.0,Somewhat clean,Very safe,Somewhat satsified,Mr. John Johnson
498,1516,Wednesday,INTERJET,GUADALAJARA,Canada/Mexico,Medium     ,Gates 1-12,2018-12-31,135.0,Clean,Very safe,Somewhat satsified,Albert Shelby
500,2391,Wednesday,UNITED INTL,BEIJING,Asia,    Hub,Gates 91-102,2018-12-31,165.0,Clean,Very safe,Very satisfied,Peter Aten
501,2137,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,295.0,Average,Somewhat safe,Somewhat satsified,Mr. Eugene Parker
502,1815,Monday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,155.0,Somewhat clean,Very safe,Somewhat satsified,Ms. Joan Bock
503,2479,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,139.0,Clean,Very safe,Somewhat satsified,Ms. Lucille Barbour
504,3082,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,97.0000000000001,Clean,Very safe,Somewhat satsified,Dana Lodge
505,749,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,150.0,Clean,Very safe,Somewhat satsified,Christopher Butler
506,1990,Friday,AIR FRANCE/KLM,AMSTERDAM,eur,    Hub,Gates 1-12,2018-12-31,205.0,Average,Neutral,Neutral,Christine Ricks
507,1381,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub,Gates 91-102,2018-12-31,175.0,Somewhat clean,Somewhat safe,Neutral,Miss Sharon Dimick
508,1174,Thursday,DELTA,NEW YORK-JFK,East US,Hub,Gates 40-48,2018-12-31,120.0,Somewhat clean,Somewhat safe,Somewhat satsified,Mr. Robert Holden
509,2007,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,215.0,Somewhat clean,Very safe,Somewhat satsified,David Simmons
510,1685,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,185.0,Clean,Very safe,Very satisfied,David Mathis
511,445,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,2018-12-31,218.0,Clean,Very safe,Somewhat satsified,Dr. Ira Betton
513,1967,Friday,CATHAY PACIFIC,HONG KONG,Asia,    Hub,Gates 1-12,2018-12-31,170.0,Average,Neutral,Neutral,Betty Lake
514,2371,Tuesday,JETBLUE,FT. LAUDERDALE,East US,Large,Gates 1-12,2018-12-31,131.0,Clean,Very safe,Very satisfied,Linda Dillion
515,671,Thursday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,165.0,Clean,Very safe,Somewhat satsified,Dr. Bruce Morris
517,1169,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,100.0,Somewhat clean,Very safe,Somewhat satsified,Kirk Volkman
519,745,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub     ,Gates 91-102,2018-12-31,145.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Claire Lowery
520,2812,Thursday,DELTA,LOS ANGELES,West US,    Hub,Gates 40-48,2018-12-31,115.0,Average,Somewhat safe,Somewhat unsatisfied,Dr. Mark Case
521,2760,Thursday,DELTA,ATLANTA,East US,Hub,Gates 40-48,2018-12-31,210.0,Clean,Very safe,Very satisfied,Marcella Dodson
523,1679,Saturday,CATHAY PACIFIC,HONG KONG,Asia,Hub,Gates 1-12,2018-12-31,205.0,Average,Neutral,Somewhat satsified,Mr. Roger Banks
524,2609,Tuesday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,177.0,Clean,Neutral,Somewhat satsified,Aaron Coutermarsh
525,2327,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,95.0000000000001,Average,Neutral,Neutral,Susie Williams
526,1313,Thursday,JETBLUE,NEW YORK-JFK,EAST US,    Hub,Gates 1-12,2018-12-31,96.0,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Steve Phillips
527,1019,Friday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,110.0,Somewhat clean,Somewhat safe,Somewhat satsified,Alberto Rumph
528,846,Tuesday,ALASKA,PORTLAND,West US,Medium     ,Gates 50-59,2018-12-31,274.0,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Cory Lopez
529,1460,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,100.0,Average,Somewhat safe,Neutral,Dr. Anna Dudley
530,309,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,302.0,Clean,Very safe,Very satisfied,Dr. Gabriela Noble
531,2761,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,110.0,Somewhat clean,Somewhat safe,Somewhat satsified,Carol Brice
533,2066,Thursday,AMERICAN,PHILADELPHIA,East US,Large,Gates 50-59,2018-12-31,117.0,Somewhat clean,Very safe,Somewhat satsified,Mr. Paul Bradley
535,2005,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,eur,    Hub,Gates 1-12,2018-12-31,155.0,Clean,Somewhat safe,Neutral,Sophie Davis
536,102,Tuesday,UNITED,WASHINGTON DC-DULLES,EAST US,Medium     ,Gates 70-90,2018-12-31,200.0,Somewhat clean,Somewhat safe,Somewhat satsified,Joseph Higgins
537,2491,Friday,ALASKA,SALT LAKE CITY,West US,    Medium,Gates 1-12,2018-12-31,150.0,Average,Very safe,Neutral,Susan Loudy
538,1167,Thursday,DELTA,NEW YORK-JFK,EAST US,    Hub,Gates 40-48,2018-12-31,100.0,Clean,Neutral,Neutral,Miss Mona Slater
539,1660,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,165.0,Average,Neutral,Neutral,Miss Elizabeth Johnson
540,3125,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,110.0,Somewhat clean,Somewhat safe,Neutral,Steve Dibartolomeo
541,2906,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,315.0,Clean,Very safe,Very satisfied,Dorris Johnson
542,1227,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,105.0,Clean,Very safe,Very satisfied,Norman Lee
543,641,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,115.0,Clean,Very safe,Very satisfied,Dr. Mary Casper
544,1478,Tuesday,ALASKA,NEW YORK-JFK,EAST US,    Hub,Gates 50-59,2018-12-31,230.0,Average,Neutral,Neutral,Ashley West
546,1797,Sunday,ALASKA,RALEIGH-DURHAM,East US,Medium,Gates 50-59,2018-12-31,95.0000000000001,Clean,Very safe,Somewhat satsified,Ms. James Davis
547,381,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,2018-12-31,165.0,Clean,Neutral,Somewhat satsified,Mr. Stephen Lothrop
549,2180,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub     ,Gates 1-12,2018-12-31,195.0,Average,Neutral,Somewhat satsified,Miss Kristin Fritts
550,2901,Thursday,DELTA,SALT LAKE CITY,West US,Medium,Gates 40-48,2018-12-31,185.0,Somewhat clean,Neutral,Somewhat satsified,Dr. Esther Burgess
552,2965,Wednesday,AMERICAN,CHARLOTTE,East US,Hub,Gates 50-59,2018-12-31,135.0,Somewhat clean,Very safe,Somewhat satsified,Ms. Jennifer Yates
553,1654,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,225.0,Clean,Very safe,Very satisfied,Teresa Mcallister
555,1513,Wednesday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,120.0,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Scott Branch
556,1628,Thursday,KOREAN AIR,SEOUL,Asia,Hub,Gates 1-12,2018-12-31,180.0,Average,Very safe,Somewhat satsified,Carlos Corbin
557,274,Thursday,UNITED,LOS ANGELES,West US,Hub,Gates 70-90,2018-12-31,70.0000000000001,Somewhat clean,Somewhat safe,Very satisfied,Dr. Omar Diorio
558,1745,Monday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,90.0,Average,Somewhat safe,Somewhat satsified,Dr. Jordan Gallagher
559,1469,Tuesday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,160.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Sandra Mcdiarmid
561,406,Sunday,UNITED,HOUSTON-BUSH,Midwest US,Hub,Gates 70-90,2018-12-31,117.0,Clean,Very safe,Neutral,Richard Mitcham
562,2219,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,2018-12-31,120.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Mallory Otting
564,2477,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,75.0000000000001,Clean,Very safe,Very satisfied,Frank Ash
565,2374,Wednesday,UNITED,AUSTIN,Midwest US,Medium,Gates 70-90,2018-12-31,120.0,Average,Neutral,Somewhat satsified,Miss James Baranowski
566,447,Sunday,UNITED,INDIANAPOLIS,Midwest US,Medium,Gates 60-69,2018-12-31,82.9999999999999,Average,Very safe,Somewhat satsified,Mr. Richard Meese
567,1353,Tuesday,UNITED INTL,SHANGHAI,Asia,    Hub,Gates 91-102,2018-12-31,120.0,Somewhat dirty,Neutral,Neutral,Marilyn Elliott
568,2382,Wednesday,UNITED INTL,BEIJING,Asia,Hub,Gates 91-102,2018-12-31,165.0,Somewhat clean,Very safe,Very satisfied,Dr. Jennifer Lopez
569,1142,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,59.99999999999989,Somewhat clean,Somewhat safe,Somewhat satsified,Jordan Heath
570,2317,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,Hub,Gates 1-12,2018-12-31,315.0,Average,Very safe,Neutral,Giuseppe Hornsby
571,1249,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,2018-12-31,120.0,Clean,Very safe,Very satisfied,James Rivera
572,2655,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,117.0,Average,Somewhat safe,Neutral,Gary Mills
573,2604,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,2018-12-31,120.0,Clean,Somewhat safe,Somewhat satsified,Mr. Warren Najera
574,1510,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium,Gates 1-12,2018-12-31,120.0,Somewhat clean,Very safe,Neutral,Dr. Sherry Dutcher
575,1232,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,105.0,Clean,Very safe,Very satisfied,Miss Jacki Powers
576,2322,Wednesday,QANTAS,SYDNEY,Australia/New Zealand,    Hub,Gates 1-12,2018-12-31,705.0,Average,Very safe,Neutral,Miss Deidre Mink
578,2487,Friday,UNITED,CHICAGO-O'HARE,Midwest US,Hub,Gates 60-69,2018-12-31,159.0,Clean,Very safe,Somewhat satsified,Dr. Shirley Hahn
579,2243,Thursday,SOUTHWEST,PHOENIX,West US,Hub,Gates 20-39,2018-12-31,65.0,Average,Neutral,Neutral,William Ford
581,1449,Wednesday,UNITED,LAS VEGAS,West US,Hub,Gates 60-69,2018-12-31,202.0,Clean,Very safe,Very satisfied,Dr. Mindi Frazier
582,2032,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,105.0,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Dale Douglas
583,1588,Wednesday,UNITED INTL,HONG KONG,Asia,Hub     ,Gates 91-102,2018-12-31,120.0,Clean,Somewhat safe,Very satisfied,Sammie Blackshear
584,3194,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,464.0,Clean,Very safe,Very satisfied,Dr. Kathleen Tyson
585,3116,Sunday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,215.0,Somewhat clean,Neutral,Somewhat satsified,Miss Theresa Valencia
586,2920,Thursday,DELTA,SEATTLE,West US,    Hub,Gates 40-48,2018-12-31,180.0,Dirty,Neutral,Very unsatisfied,Dr. Amy Warren
587,1440,Saturday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,2018-12-31,220.0,Somewhat clean,Very safe,Neutral,Dr. Jose Larue
588,1596,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,210.0,Somewhat clean,Somewhat safe,Somewhat satsified,Matt Gonzalez
589,2207,Wednesday,AER LINGUS,DUBLIN,Europe,Large,Gates 91-102,2018-12-31,180.0,Clean,Very safe,Somewhat satsified,Wayne Mathews
590,2651,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,162.0,Somewhat clean,Very safe,Very satisfied,Mr. Leonard Budd
592,2133,Wednesday,AIR CANADA,VANCOUVER,Canada/Mexico,Medium,Gates 91-102,2018-12-31,125.0,Somewhat clean,Neutral,Somewhat satsified,Merle Myers
594,343,Friday,ALASKA,SAN DIEGO,West US,    Medium,Gates 50-59,2018-12-31,156.0,Somewhat clean,Neutral,Somewhat satsified,Ms. Elizabeth Jordan
595,1455,Saturday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,220.0,Average,Very safe,Somewhat satsified,Mary Davies
596,901,Friday,AIR CANADA,TORONTO,Canada/Mexico,    Hub,Gates 91-102,2018-12-31,140.0,Somewhat clean,Very safe,Neutral,Ms. Marcia Turner
597,1186,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,75.0000000000001,Somewhat clean,Neutral,Neutral,Dr. Tess Snow
598,554,Thursday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,265.0,Average,Very safe,Somewhat satsified,Dr. Laraine Matthews
599,333,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,2018-12-31,66.0,Clean,Somewhat safe,Somewhat satsified,Dr. Clayton Brown
601,2437,Wednesday,AIR NEW ZEALAND,AUCKLAND,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,220.0,Somewhat clean,Somewhat safe,Somewhat satsified,Miss Maria Ashe
602,3012,Tuesday,UNITED,PORTLAND,West US,    Medium,Gates 70-90,2018-12-31,150.0,Clean,Very safe,Neutral,Elaine Miller
603,1666,Saturday,EMIRATES,DUBAI,Middle East,Hub,Gates 1-12,2018-12-31,205.0,Somewhat clean,Neutral,Somewhat satsified,Ms. Phyllis Clark
604,2008,Wednesday,UNITED,NEWARK,East US,Hub,Gates 70-90,2018-12-31,90.0,Clean,Very safe,Very satisfied,Mr. Russell Estep
606,2998,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,2018-12-31,63.0,Average,Very safe,Somewhat satsified,Dr. Derek Blackwood
607,3111,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,183.0,Clean,Very safe,Very satisfied,Roman Love
608,577,Thursday,ALASKA,SEATTLE,West US,Hub,Gates 50-59,2018-12-31,103.0,Clean,Neutral,Very satisfied,Mr. Gilbert Burkett
610,3163,Thursday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,2018-12-31,75.0,Clean,Very safe,Very satisfied,Raymond Kyser
611,2956,Tuesday,AMERICAN,NEW YORK-JFK,EAST US,Hub     ,Gates 50-59,2018-12-31,130.0,Somewhat clean,Very safe,Somewhat satsified,Miss Lori Allen
612,874,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,2018-12-31,100.0,Clean,Very safe,Somewhat satsified,Christina Severs
613,3177,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,120.0,Average,Somewhat safe,Neutral,Mr. Frank Rodriguez
614,831,Sunday,ALASKA,NASHVILLE,Midwest US,Medium,Gates 50-59,2018-12-31,96.0,Clean,Very safe,Very satisfied,Gayle Burris
615,2379,Wednesday,UNITED INTL,BEIJING,Asia,    Hub,Gates 91-102,2018-12-31,250.0,Somewhat clean,Somewhat safe,Very satisfied,Dr. Maria Cifelli
616,2006,Friday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,170.0,Somewhat clean,Very safe,Somewhat satsified,Dr. Annie Metzger
617,3239,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,94.9999999999998,Clean,Very safe,Very satisfied,Doris Lanier
618,2825,Tuesday,UNITED,BURBANK,West US,Small,Gates 70-90,2018-12-31,93.0,Clean,Very safe,Very satisfied,Charlotte Barjas
620,2201,Thursday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,165.0,Clean,Very safe,Somewhat satsified,George Goulet
621,644,Tuesday,ALASKA,WASHINGTON DC-DULLES,East US,Medium,Gates 50-59,2018-12-31,125.0,Clean,Very safe,Somewhat satsified,Ms. Mildred Rohm
622,1286,Tuesday,UNITED INTL,LONDON HEATHROW,Europe,Hub,Gates 91-102,2018-12-31,120.0,Clean,Very safe,Very satisfied,Ms. Bonnie Shearer
623,3042,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,150.0,Clean,Very safe,Very satisfied,Mr. Joseph King
625,336,Friday,ALASKA,SAN DIEGO,West US,Medium,Gates 50-59,2018-12-31,96.0,Clean,Very safe,Somewhat satsified,Ernestina Brown
627,2426,Tuesday,UNITED,HONOLULU,West US,Medium,Gates 70-90,2018-12-31,85.0,Somewhat clean,Somewhat safe,Somewhat satsified,Maria Wallace
629,3225,Wednesday,AMERICAN,PHOENIX,West US,Hub,Gates 50-59,2018-12-31,214.0,Somewhat clean,Somewhat safe,Neutral,James Robison
630,1598,Wednesday,SINGAPORE AIRLINES,SINGAPORE,Asia,Hub,Gates 91-102,2018-12-31,150.0,Clean,Very safe,Somewhat satsified,Miss Jennifer Haynes
631,2552,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,62.99999999999989,Somewhat clean,Neutral,Somewhat satsified,Mark Bradley
632,2802,Tuesday,SOUTHWEST,PHOENIX,West US,Hub     ,Gates 20-39,2018-12-31,120.0,Clean,Very safe,Somewhat satsified,Sharon Jackson
633,3128,Tuesday,UNITED,SAN DIEGO,West US,Medium,Gates 60-69,2018-12-31,74.9999999999999,Clean,Very safe,Very satisfied,Maria Alix
634,945,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,90.0,Somewhat clean,Somewhat safe,Somewhat satsified,Sherri Vascocu
635,2564,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,93.0,Somewhat clean,Somewhat safe,Somewhat satsified,Dr. Christina Decosta
